Local authority code,LookUp_BoroughName,WardCode,WardName,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022,Year ending Mar 2023
E09000002,Barking and Dagenham,E05000026,Abbey,183503.53564,185865.28852,188033.36328,180628.23684,177795.41353,177714.01869,163750.24845,158897.01538,159104.0942,156474.15344,165190.57692,165780.47619,168863.56329,172655.70073,175013.70732,177208.87387,170680.65957,176299.17647,172657.78947,168026.58333,176779.42623,175154.53846,177890.9589,176408.35227,180841.48515,188359,192991.56,195076.12583,196981.06918,197438.2,200794.38144,206247.92857,214132.23214,222061.01923,230616.66845,255507.51408,257489.88696,260565.84746,265804.4381,259062.78788,270268.49438,270377.57895,260437.1125,255479.0274,251465.32877,248151.72464,253431.89655,261546.36364,265542.5,276245.96774,305703.80342,309508.93103,312335.92697,310880.89372,304485.19136,290932.10135,284981.86726,267432.26882,253508.16327,262482.75862,260524.39024
E09000002,Barking and Dagenham,E05000027,Alibon,186748.62567,189166.9337,190668.52713,190602.40964,183746.26866,173877.77778,162602.08333,153115.46875,151918.53333,153737.38636,156158.29268,157753.38028,161870.80645,162655.8209,160215.52239,163658.55072,159781.13636,160041.125,160777.9878,162152.63514,168090.5,170989.85714,174547.06061,176047.44872,184071.58824,189423.82022,199445.51402,207385.04202,211848.13008,217023.25397,220635.92,224946.53846,244131.60305,258467.3806,275653.35156,288472.36885,287671.15534,282210.05319,284010.81522,283396.85567,289767.10784,293532.66355,297038.78641,300051.49485,301888.55422,313084.33735,311940.74074,314116,312785.52632,303911.66667,297526.31579,300084.82258,304196.55714,307583.43678,320589.59091,322403.96341,332452.16049,336012.77612,335426.39655,354198.69355,349081.49057
E09000002,Barking and Dagenham,E05000033,Goresbrook,192907.22973,187726.92233,183495.5871,179071.5,167569.4,155868.77049,151743.68056,153244.10256,158525.56962,158950.11628,159988.96104,160587.07692,156477.62712,156382.76596,158490.64815,156368.88889,159223.25758,162566.68919,164491.76471,163988.5,163788.5,161647.67606,164728.08642,169731.56627,174778.40426,180584.6875,192208.9633,201056.28037,208962.6381,217194.05263,226474.07216,234242.80952,242087.91667,255442.21649,268818.73737,279575.86022,289225.33708,288164.78947,284790.37234,286575.20619,288411.77419,286304.81928,284157.82667,281917.92754,273789.40278,279659.36765,288473.68421,293666.66667,301121.86486,298593.11429,296765.22807,296573.53571,296298.4375,305795.79012,307588.30337,312029.86076,328703.80882,339093.75,353587.7193,364150.79365,360784.48276
E09000002,Barking and Dagenham,E05000030,Eastbrook,214166.83654,215914.8,210896.36364,212247.64151,205984.85897,197469.5303,185738.89744,179666.35227,180713.42391,185223.21429,186813.57143,191398.28125,192626.08911,192068.36842,196955.98901,192529.85,190348.33333,188378.85,189170.80645,197186.25,196242.96512,199475.20202,200651.31132,200651.68807,206693.78226,214941.67188,225011.07914,234632.17054,243484.88722,248160.5,256136.95652,265385.83333,287246.92,306492.32,321251.89394,322019.28571,330173.6,321020.61069,323360.65574,325772.72727,322164,333820,333431.96,335152.45833,337391.99115,332115.99057,328551.96078,336853.53535,343269.60784,345197.89474,350553.7732,359260.15238,371028.15741,382167.25197,395369.04762,404314.61538,406768.125,408358.92857,414048.92857,408422.03488,406553.6875
E09000002,Barking and Dagenham,E05000036,Mayesbrook,190229.47236,192776.84848,189357.10938,194160,186767.83019,176199.36364,163378.76923,152913.07843,156396.08065,163333.10606,171345.61644,178474.78571,178853.09524,174292.89063,173276.78571,165084.90566,167876.73913,170581.1194,169539.27419,173282.13235,170784.14063,172499.79452,174796.53846,178889.56989,187789.68085,193423.36735,200747.07865,209647.26316,214989.84848,224833.28125,232497.65,239613.17308,247958.11881,252601.77083,269562.5,283342.78351,294456.63265,301122.5,298947.8022,299792.03488,300624.87654,295552.44318,296961.96629,296997.25275,296372.63158,298692.94118,303927.38095,305540.9375,305843.35443,307001.73611,300352.08333,315524.27419,316809.18182,331721.22727,339602.18841,347399.15625,366254.55385,363057.5,375442.02899,371310.60606,369389.83051
E09000002,Barking and Dagenham,E05000029,Chadwell Heath,208404.85955,209918.41772,207978.62097,196762.03061,194883.675,182745.45313,173239.60317,176372.71429,175216.26582,178989.89011,182298.6413,185511.39535,185721.32911,190374.86842,195926.66667,191157.53425,186237.04301,188739.02299,189103.22222,195306.62921,208715.54795,202790.94937,201466.40449,200685.61856,205485.53398,209120.24038,221987.54902,229265.72727,233525.42056,242344.57547,252342.52427,264422.07071,282681.73077,282417.14286,279446.90722,285405.97826,282823.53846,297348.11905,314735.55319,303030.86441,300163.67188,309489.87421,307980.875,331947.12963,342347.22581,345863.26087,355428.70946,349343.98387,346869.44037,347956.72826,344010.76923,354371.21212,355756.09756,360773.14815,358074.51754,359357.71552,367213.4717,378425.30435,381839.92708,385279.16842,392515.08696
E09000002,Barking and Dagenham,E05000032,Gascoigne,198963.03077,197830.14444,196801.95139,188386.06977,181248.36364,161350,156467.72152,140542.48438,140828.70803,140110.93182,134324.40625,149826.85185,149858.26531,151068.06818,150872.45098,147176.98276,147865.77586,146410.39063,147379.41667,151313.72549,153945.55556,156115.38462,155888.88889,164084.12281,171863.93333,176515.18293,189393.62069,198893.62069,202549.94048,207210.05618,212984.7191,213930.5,222753.0102,230978.59375,243397.84946,255486.30952,260439.80769,266272.64474,262560.01613,264943.59701,276240.01695,288259.18367,290120.44776,302592.10526,300535.83333,299301.14173,291580.80808,270618.44595,265391.18182,258336.38636,265376.47368,261455.17143,281948.79661,292958.87671,309444.42424,308592.57407,307275.86207,311601.35135,289901.58333,295220.69767,300066.44444
E09000002,Barking and Dagenham,E05000038,River,183881.57813,187291.91038,187850.39634,185851.21622,180014.01408,160044.33333,152107.67241,152415.38961,151552.03488,155621.64634,162039.42029,161592.27941,162934.21875,157974.47761,156747.37179,156064.28571,158522.05882,160639.63235,161333.25,160456.81034,161227.88136,165136.98276,164657.17391,169440.19231,174599.16667,179052.08738,193676.5042,202756.16667,209784.02857,216920.36567,226702.48175,232694.9078,245150.59589,248566.80986,256929.4252,272451.28319,277189.80583,282034.13462,284874.32432,281557.9646,285171.2963,287382.35294,286824.74227,293757.58889,295996.31395,296466.9,303657.50704,302168.27397,298765.43284,302312.06154,298314.90909,301966.39344,312539.47761,319569.82955,321605.67708,327292.72277,326538.31683,326688.16092,335035.875,346993.58974,358162.33766
E09000002,Barking and Dagenham,E05000031,Eastbury,199991.42534,202470.17766,203276.90476,202264.65347,186355.90909,176452.64151,166470.58824,161020.19737,163704.94318,166130,169410.98131,174955.86957,174956.04938,176950.6338,173031.25,167855.7377,170277.74324,171584.01282,175308.67901,179971.46753,180999.5,181880.06944,181677.96296,187098.54167,191004.78261,193968.34951,210320.67961,213233.50467,219495.7377,228660.47009,234044.32203,251880.8871,263321.92,267162.15447,279154.91453,296385.27778,315289.04762,328237.5,329125.18868,317231.40777,309071.66667,306805.38043,301296.27586,313573.68367,312894.03093,315304.95789,316487.45,308852.73973,306364.58333,303613.63636,309303.92157,309030,326227.27273,328743.90244,326375,332365.97938,336086.73469,340895.89041,356329.41176,355728.57143,353449.0566
E09000002,Barking and Dagenham,E05000034,Heath,186052.6875,189647.46575,193150.10101,192816.77419,187500,171526.89189,158641.97368,154372.88462,152402.85714,158342.80822,168455.76923,174418.15217,177502.75758,171274.41071,165050.875,161886.98824,157830.27632,162159.82143,159941.50943,159308.53448,159748.125,158856.07143,163429.3662,166662.20779,174327.20238,183133.22222,195638.03191,206096.93396,213626.3964,219285.96639,233875.44643,246020.95238,254448.93939,269603.59375,268822.67677,278608.19588,282819.58763,281557.03093,286709.14286,293045.32,296083.66667,302202.24719,305600,308401.23457,326186.73585,328201.15455,323439.52903,322147.08537,310918.37762,309087.74809,309333.26667,307571.64179,307694.3662,310322.19101,311724.16667,311918.10345,318409.6875,346040.84507,356315.85366,373584.14634,385481.25
E09000002,Barking and Dagenham,E05000035,Longbridge,276359.77093,277413.13659,272609.30994,269142.33884,260615.9186,249007.52381,250154.32353,256549.87778,256647.95146,263032.81982,264170.83929,258278.68478,258884.19101,249809.07143,257472.71717,256903.94215,254454.05426,259281.6281,257222.88034,262131.05825,260935.69388,262273.7767,258489.83168,264398.77982,276752.48148,288966.1875,297010.91071,304588.15,310110.81102,316608.0963,329037.58865,347353.50365,357157.48387,376813.78378,395233,401488.87324,422570.9375,421357.64423,416853.79121,410497.37113,415165.81731,415915.78947,417036.08247,434958.33333,433104.08108,431776.94505,435567.54945,433613.26596,431026.01064,432076.69014,428898.4375,432028.84615,455525,472515.625,479675.20619,472570.43137,479825.09091,494002.2439,500257.65556,513654.32099,523093.91892
E09000002,Barking and Dagenham,E05000037,Parsloes,187901.07821,190700.15337,188755.2381,186602.57895,177399.14063,160465.43103,154717.66129,153168.78378,154825.52632,154999.85915,156779.11765,156959.55357,158118.15789,159648.91667,160906.38889,164842.28814,164968.87931,168730.76923,166485.42188,163956.07463,164079.38571,164980.94737,171112.46479,175905.41667,181967.10465,189524.47312,197897,208824.7931,218101.17391,218866.68103,227600.27523,233182.52475,245131.5566,264156.27451,268251.05556,276804.42697,280704.46753,282680.90789,289508.22353,291502.22826,293090.05556,290053.24444,294738.11236,295791.40964,301928.23457,305846.15385,301231.33333,304241.66667,303454.43038,306334.32836,313821.09375,313119.71831,316289.6,316863.56436,320776.28319,323033.68932,332980.97826,343077.09877,355334.39189,367731.81159,366382.73438
E09000002,Barking and Dagenham,E05000028,Becontree,194861.28095,194723.7377,195481.89286,197442.92079,196964.28571,193676.13636,178610.81081,160854.75,161116.69014,172467.81481,179872.90071,189462.90798,187072.77451,182533.27143,179435.62105,180885.76,187025.17105,186365.18182,186315.84507,178859.35811,174327.1831,177814,185732.11656,182546.89583,184871.34043,191288.87805,194876.69767,207582.42188,212111.57895,216493.30739,222996.16142,245902.47449,253156.47343,268890.84848,277538.4359,282009.82353,295205.07031,293541.00781,289561.48413,291747.45926,287424.09821,297102.66964,306126.21359,306761.45833,309171.13402,304697.75281,300785.22727,301082.75862,301704.16667,301454.48718,309042.10526,316978.26087,326785.44304,332390.95745,330275.2809,340545.97701,344775,353182.53968,375775.36232,379531.25,386515.38462
E09000002,Barking and Dagenham,E05000039,Thames,179006.64835,183075.33557,181479.06299,180386.8587,173665.61194,181447.63636,186655,179300,171520.93023,166409.51923,166375.68182,166736.80328,169257.94643,169534,166174.46809,167228.30612,180987.49123,186471.56452,183124.52083,191275.17,195970.91509,196796.06452,196036.23418,191081.6358,183378.87097,184346.51007,206077.32283,209955.0625,207453.36232,207729.93069,205571.03636,215665.11194,226530.75163,230778.75817,232756.63194,237384.375,262295.625,278500.31056,281310.00513,287760.61446,291034.71713,295611.32301,294762.86905,296299.33161,299646.38728,295551.05839,317570.64516,334256.22951,353703.3,356912.09459,363819.18182,352389.45378,339047.13675,341533.05147,341143.84921,335329.36441,322097.65823,311915.29412,308792.11268,318254.83871,326737.70492
E09000002,Barking and Dagenham,E05000042,Whalebone,206187.59696,213355.48585,216130.6135,215543.78641,204338.37838,185178.46667,181299.85915,176913.52632,179146.49038,187476.65179,190041.4918,197735.95098,193187.49533,190366.6701,189158.55769,187109.60526,191517.3913,186870.68966,186104.90196,186800.98039,185991.15385,190556.46739,191563.7234,199883.95455,205500.12903,209693.77465,216244.83099,226847.14013,230436.27119,237671.81548,247534.38202,256322.69444,260261.18966,283551.26,295071.28511,309682.85652,326704.32906,327493.60829,330459.96447,332355.94444,326177.95031,313297.45342,311014.65248,313093.64626,308878.25,311967.18966,312413.55357,315915.76147,322641.43689,326503.44828,333485.71429,336788.73239,347449.49367,349652.88043,351742.3301,351505.16854,364040.55556,369682.89773,390304.16667,396594.36441,387450.34314
E09000002,Barking and Dagenham,E05000040,Valence,187270.2907,187380.3681,188527.35537,185616.80851,183546.07692,175130,162999.88095,160544.35185,162953.65672,160011.93333,161120.73171,164253.6125,168544.57647,175273.25806,180800.80597,182313.9708,180597.85507,178763.04,173344.65517,168949.17808,167860.71429,169983.42105,174526.38554,182426.73077,185038.1068,192055.46729,198541.08247,217153.36634,224271.38095,239070.85714,255363.95161,254534.90196,259174.49438,261506.63889,262768.07692,279656.06061,291653.45455,298454.31068,299065.92453,301698.91262,304762.25743,301127.12621,308943.75,303631.81818,303454.65116,303598.68421,302543.47826,307070.51282,317613.92405,324337.28916,322622.03488,324945.72289,322511.25,323010.05051,322433.28283,327196.64835,330404.70588,338884.28571,337729.72973,345250,348138.46154
E09000002,Barking and Dagenham,E05000041,Village,172929.67368,178697.46875,179369.35897,180476.59794,181972.14286,171512.69231,155594.22222,152072,154368.60656,158171.21429,156659.7377,159722.5625,156990.16071,161101,163772.41379,159737.53846,163267.05714,157384.13158,153095.69014,151519.23333,154622.30769,163136.29032,169388.44595,174358.27778,178355.89899,182809.752,188138.35294,195569.95041,204924.75,208339.48113,215343.3913,222120.8871,225335.74627,232854.24812,243915.07463,259180.87719,269447.67327,283967.83019,284913.80208,277312.23958,283863.8172,272092.36486,275302.97619,279380,278171.68675,288445.4023,294204.26829,290618.24324,289655.30303,294705.64516,303641.07143,328587.04688,328012.21429,329963.2037,330632.68421,327076.49038,329963.15789,330493.33333,332163.93443,345557.37705,350525
E09000003,Barnet,E05000045,Childs Hill,531417.54882,562584.98776,600133.41714,604260.06716,559031.19643,506127.88785,541463.25,551664.86667,543404.88652,649655.62195,735703.41624,734115.88,827598.16466,781722.9476,704114.50226,682362.99559,603185.78947,651841.1244,740623.85556,898794.46552,932499.09392,990864.17617,926848.86076,841901.52362,793627.552,763789.85878,825721.28112,860478.37069,899391.631,944933.22222,874241.18725,852217.75986,840734.59574,792690.18959,777796.8843,781297.87766,778340.96296,858087.87671,861506.35526,890119.64238,861198.36735,806337.29323,925470.42963,862916.81707,811671.26486,759136.70192,744915.11947,735204.78713,787383.15301,898297.13245,895378.04878,967194.93007,1007292.6301,1050936.4906,1102876.1028,1210542.0928,1292529.6364,1233565.463,1197465.4571,1153487.7135,1184235.3077
E09000003,Barnet,E05000044,Burnt Oak,233697.94498,239284.17845,240779.66917,232488.71193,225666.64362,212532.97468,207740.95522,203362.70833,203037.6259,206902.90076,211200.45109,215897.95172,219748.24648,219479.12025,225121.94393,231610.28866,225890.70796,226549.76852,225092.17273,223163.67961,233359.22115,238721.95,242310.62016,243247.36184,246930.32667,253007.52055,252576.75163,265570.82119,274168.35417,283371,298734.05926,318186.1931,323921.17964,328902.12579,337565.59355,339244.36301,353043.57463,351874.64444,362554.63566,368711.84071,362711.49495,369666.66667,361361.78571,356837.36842,349738.97436,349332.11236,353833.17241,340488.34483,340120.07595,332099.27273,334207.24528,368359.85938,387520.01351,402846.65263,398384.32,403814.10714,405334.67105,396153.66176,419409.72727,408486.1954,404441.96296
E09000003,Barnet,E05000047,Coppetts,317966.66077,319072.68459,304718.31364,294420.97403,294162.10345,276080.49,287189.09901,280338.05479,288765.06936,298475.87097,314465.89756,328175.12857,327929.98544,340177.91632,330918.4375,330966.37555,329545.02165,323680.35407,338597.32857,343514.60209,353529.79602,357524.85222,371489.01869,366082.25926,372895.15663,374567.02239,377072.40727,400358.51724,409169.21344,425759.05778,449910.29293,477939.23415,502296.51786,516811.2,523282.15247,530988.31731,520371.46597,521486.19681,514719.56647,494184.22024,495724.48993,483774.97973,490300.77124,499777.11765,503351.64901,510654.39865,494035.91549,480390.44118,495594.33333,497933.2,521869.49138,575003.1,592747.65289,587431.52432,584689.26455,584123.35468,581499.51366,591607.74074,611541.96667,607393.41379,626967.69231
